# wasmtime 48.0.1 (tag v48.0.1, commit 7bac2c27), default features, x86_64-unknown-linux-gnu: `cargo tree --locked -p wasmtime-cli -e normal`
# kind: linked = compiled into the binary; workspace = wasmtime's own crates (compiled in); proc-macro = runs at build time only
name	version	license	kind	source
wasmtime-wizer	48.0.1	Apache-2.0 WITH LLVM-exception	workspace	wasmtime workspace
wast	254.0.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	linked	registry+https://github.com/rust-lang/crates.io-index
wast	35.0.2	Apache-2.0 WITH LLVM-exception	linked	registry+https://github.com/rust-lang/crates.io-index
wat	1.254.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	linked	registry+https://github.com/rust-lang/crates.io-index
webpki-roots	1.0.7	CDLA-Permissive-2.0	linked	registry+https://github.com/rust-lang/crates.io-index
wiggle	48.0.1	Apache-2.0 WITH LLVM-exception	workspace	wasmtime workspace
wiggle-generate	48.0.1	Apache-2.0 WITH LLVM-exception	workspace	wasmtime workspace
wiggle-macro	48.0.1	Apache-2.0 WITH LLVM-exception	proc-macro	wasmtime workspace
winch-codegen	48.0.1	Apache-2.0 WITH LLVM-exception	workspace	wasmtime workspace
winnow	0.7.13	MIT	linked	registry+https://github.com/rust-lang/crates.io-index
wit-component	0.254.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	linked	registry+https://github.com/rust-lang/crates.io-index
wit-parser	0.254.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	linked	registry+https://github.com/rust-lang/crates.io-index
witx	0.9.1	Apache-2.0	linked	registry+https://github.com/rust-lang/crates.io-index
write16	1.0.0	Apache-2.0 OR MIT	linked	registry+https://github.com/rust-lang/crates.io-index
writeable	0.5.5	Unicode-3.0	linked	registry+https://github.com/rust-lang/crates.io-index
yoke	0.7.5	Unicode-3.0	linked	registry+https://github.com/rust-lang/crates.io-index
yoke-derive	0.7.5	Unicode-3.0	proc-macro	registry+https://github.com/rust-lang/crates.io-index
zerofrom	0.1.5	Unicode-3.0	linked	registry+https://github.com/rust-lang/crates.io-index
zerofrom-derive	0.1.5	Unicode-3.0	proc-macro	registry+https://github.com/rust-lang/crates.io-index
zeroize	1.8.2	Apache-2.0 OR MIT	linked	registry+https://github.com/rust-lang/crates.io-index
zerovec	0.10.4	Unicode-3.0	linked	registry+https://github.com/rust-lang/crates.io-index
zerovec-derive	0.10.3	Unicode-3.0	proc-macro	registry+https://github.com/rust-lang/crates.io-index
zstd	0.13.0	MIT	linked	registry+https://github.com/rust-lang/crates.io-index
zstd-safe	7.0.0	MIT/Apache-2.0	linked	registry+https://github.com/rust-lang/crates.io-index
zstd-sys	2.0.9+zstd.1.5.5	MIT/Apache-2.0	linked	registry+https://github.com/rust-lang/crates.io-index
